obj_id,obj_title,obj_beginyear,obj_endyear,obj_medium,obj_dimensions,obj_inscription,obj_attribution,obj_class,loc_site,loc_room,loc_description,img_url
281,Saint Francis Receiving the Stigmata,1445.0,1450.0,tempera on poplar panel,"overall: 27.5 x 30.5 cm (10 13/16 x 12 in.)
framed: 40.6 x 44.5 x 5.1 cm (16 x 17 1/2 x 2 in.)",,Domenico Veneziano,painting,West Building,M-004,West Main Floor Gallery 4,"https://api.nga.gov/iiif/81246586-88c4-48ce-b348-a5c396a1a0e1/full/!500,500/0/default.jpg"
88,The Needlewoman,1640.0,1650.0,oil on canvas,"overall: 74 x 60 cm (29 1/8 x 23 5/8 in.)
framed: 102.2 x 88.3 x 7.6 cm (40 1/4 x 34 3/4 x 3 in.)",,Diego Velázquez,painting,West Building,M-074,West Main Floor Gallery 74,"https://api.nga.gov/iiif/9150722c-f34d-484b-aa58-4079c7e85850/full/!500,500/0/default.jpg"
111,Miss Juliana Willoughby,1781.0,1783.0,oil on canvas,overall: 92.1 x 71.5 cm (36 1/4 x 28 1/8 in.),,George Romney,painting,West Building,M-059,West Main Floor Gallery 59,"https://api.nga.gov/iiif/d545b1b9-943f-426e-b125-042770a19ec5/full/!500,500/0/default.jpg"
112,Mrs. Davies Davenport,1782.0,1784.0,oil on canvas,"overall: 76.5 x 64 cm (30 1/8 x 25 3/16 in.)
framed: 104.1 x 91.4 x 12.7 cm (41 x 36 x 5 in.)",,George Romney,painting,West Building,M-058,West Main Floor Gallery 58,"https://api.nga.gov/iiif/e7aa77ac-3add-4abc-a978-691d1b2fa3b3/full/!500,500/0/default.jpg"
284,The Crucifixion,1340.0,1345.0,tempera on panel,"painted surface: 31 x 38 cm (12 3/16 x 14 15/16 in.)
overall: 33.85 x 41.1 cm (13 5/16 x 16 3/16 in.)
framed: 37.2 x 45.4 x 5.7 cm (14 5/8 x 17 7/8 x 2 1/4 in.)","upper center: I.N.R.I. (Jesus of Nazareth, King of the Jews)",Paolo Veneziano,painting,West Building,M-001,West Main Floor Gallery 1,"https://api.nga.gov/iiif/b546eb51-99f0-4986-9706-0e3c618bc51f/full/!500,500/0/default.jpg"
372,Susanna,1580.0,1589.0,oil on canvas,"overall: 150.2 x 102.6 cm (59 1/8 x 40 3/8 in.)
framed: 185.7 x 137.8 x 10.8 cm (73 1/8 x 54 1/4 x 4 1/4 in.)",,Domenico Tintoretto,painting,West Building,M-028,West Main Floor Gallery 28,"https://api.nga.gov/iiif/009e5284-cbd1-4034-8495-4428c83ace67/full/!500,500/0/default.jpg"
575,Cherubs Playing with a Lyre,1672.0,1673.0,lead with traces of gilding,overall: 109 x 150 cm (42 15/16 x 59 1/16 in.),,Pierre Legros I,sculpture,West Building,M-136,East Garden Court,"https://api.nga.gov/iiif/350eaa43-63aa-4a4f-9f28-11e3f76913b1/full/!500,500/0/default.jpg"
574,Cherubs Playing with a Swan,1672.0,1673.0,lead with traces of gilding,overall: 119 x 150 cm (46 7/8 x 59 1/16 in.),,Jean-Baptiste Tuby I,sculpture,West Building,M-104,West Garden Court,"https://api.nga.gov/iiif/f82b507d-c1cb-4074-b4cc-40bd714d8357/full/!500,500/0/default.jpg"
1003,The Age of Bronze (L'Age d'Airain),1875.0,1876.0,bronze,overall: 104.1 x 35 x 27.9 cm (41 x 13 3/4 x 11 in.),on left side of base near left foot: Rodin; cachet in raised letters on inside of left foot: A. Rodin,Auguste Rodin,sculpture,West Building,G-007,West Ground Floor Gallery 7,"https://api.nga.gov/iiif/7321dffc-9c73-4399-b0ea-afeb25af1a32/full/!500,500/0/default.jpg"
1115,Sir Joshua Reynolds,1784.0,1784.0,oil on canvas,"overall: 91.6 x 76.4 cm (36 1/16 x 30 1/16 in.)
framed: 108 x 93.7 x 5.7 cm (42 1/2 x 36 7/8 x 2 1/4 in.)",,Gilbert Stuart,painting,West Building,M-059,West Main Floor Gallery 59,"https://api.nga.gov/iiif/f9a7f993-8d0d-4137-8f7e-55a82d55f8b2/full/!500,500/0/default.jpg"
1145,David with the Head of Goliath,1450.0,1455.0,tempera on leather on wood,"overall (width at top): 115.5 x 76.5 cm (45 1/2 x 30 1/8 in.)
overall (width at bottom): 115.5 x 40.6 cm (45 1/2 x 16 in.)",,Andrea del Castagno,painting,West Building,M-004,West Main Floor Gallery 4,"https://api.nga.gov/iiif/c0f9cd21-9d15-4ba2-b3cc-c88759af9488/full/!500,500/0/default.jpg"
1237,Girl with a Flute,1665.0,1675.0,oil on panel,"painted surface: 20 x 17.8 cm (7 7/8 x 7 in.)
framed: 39.7 x 37.5 x 5.1 cm (15 5/8 x 14 3/4 x 2 in.)",,Attributed to Johannes Vermeer,painting,West Building,G-039,West Ground Floor Gallery 39,"https://api.nga.gov/iiif/1829584c-abf5-4c25-9977-8d13687a7406/full/!500,500/0/default.jpg"
12118,Saint Catherine of Alexandria,1335.0,1340.0,tempera on panel,"painted surface (edge of gilding to edge of gilding): 73.5 × 40.5 cm (28 15/16 × 15 15/16 in.)
painted surface (edge of paint to edge of paint): 73.5 × 41 cm (28 15/16 × 16 1/8 in.)
overall: 73.5 × 42 × 1 cm (28 15/16 × 16 9/16 × 3/8 in.)
framed: 95.3 x 47.3 x 6 cm (37 1/2 x 18 5/8 x 2 3/8 in.)",on the gilded brooch of the saint's mantle: S.K.A.T.E.R.I.N.A,Bartolomeo Bulgarini,painting,West Building,M-003,West Main Floor Gallery 3,"https://api.nga.gov/iiif/b4ee3d5d-4397-4e7e-b946-20a22c878230/full/!500,500/0/default.jpg"
12187,Neapolitan Fisherboy (Pêcheur napolitain à la coquille),1857.0,1861.0,marble,"overall: 92 × 42 × 47 cm, 390 lb. (36 1/4 × 16 9/16 × 18 1/2 in., 176.903 kg)",lightly incised on shell between figure's legs: CD [or (A)] / CARPEAUX / ROMA 18[5 or 6]7,Jean-Baptiste Carpeaux,sculpture,West Building,M-134,East Sculpture Hall,"https://api.nga.gov/iiif/ce311d8d-2aad-49cc-acab-d26ea93d380d/full/!500,500/0/default.jpg"
12188,Girl with a Shell (Jeune fille à la coquille),1863.0,1867.0,marble,"overall: 102.6 × 51.5 × 62.3 cm, 390 lb. (40 3/8 × 20 1/4 × 24 1/2 in., 176.903 kg)",incised at left rear of top of self-base: JBte Carpeaux (in cursive) / PARIS 1867. (in block letters),Jean-Baptiste Carpeaux,sculpture,West Building,M-134,East Sculpture Hall,"https://api.nga.gov/iiif/eb27bd84-ab97-4c43-912f-e87fc015229b/full/!500,500/0/default.jpg"
41612,Joseph of Egypt,1490.0,1495.0,oil on panel transferred to canvas,"overall: 88.5 x 52.5 cm (34 13/16 x 20 11/16 in.)
overall (design area width): 49 cm (19 5/16 in.)
framed: 124.1 x 87 x 8.3 cm (48 7/8 x 34 1/4 x 3 1/4 in.)",,Master of the Griselda Legend,painting,West Building,M-008,West Main Floor Gallery 8,"https://api.nga.gov/iiif/6789558e-0527-4d41-97e5-245336b76e8f/full/!500,500/0/default.jpg"
41669,Christ in Limbo,1491.0,1491.0,tempera on panel,"painted surface: 42.1 × 46.6 cm (16 9/16 × 18 3/8 in.)
overall size: 43 × 48.7 cm (16 15/16 × 19 3/16 in.)
framed (with four other paintings): 59.69 × 283.21 × 5.4 cm (23 1/2 × 111 1/2 × 2 1/8 in.)",,Benvenuto di Giovanni,painting,West Building,M-008,West Main Floor Gallery 8,"https://api.nga.gov/iiif/60ea795a-ca3d-44db-9d51-cb24794c8247/full/!500,500/0/default.jpg"
42930,The Laundresses,1899.0,1899.0,oil on canvas,"overall: 83.2 x 68.2 cm (32 3/4 x 26 7/8 in.)
framed: 101.3 x 85.1 x 10.1 cm (39 7/8 x 33 1/2 x 4 in.)",lower left: Steinlen; on reverse: 1899,Théophile Alexandre Steinlen,painting,West Building,M-080,West Main Floor Gallery 80,"https://api.nga.gov/iiif/c33106ab-4bdb-4c02-9dc5-d38eda2ded6f/full/!500,500/0/default.jpg"
46060,Bacchus and Ariadne,1743.0,1745.0,oil on canvas,overall: 214 × 232.4 cm (84 1/4 × 91 1/2 in.),,Giovanni Battista Tiepolo,painting,West Building,M-105,"West Bldg, Lobby B","https://api.nga.gov/iiif/3b398f2e-ba99-4455-b55f-824e39f849f5/full/!500,500/0/default.jpg"
46096,The Return from the Hunt,1525.0,1550.0,"tapestry: undyed wool warp, dyed wool and silk weft",overall: 304.2 x 322.3 cm (119 3/4 x 126 7/8 in.),,"design and cartoon Flemish 16th Century, probably Tournai; woven in Tournai in an undetermined workshop",decorative art,West Building,G-019,West Ground Floor Gallery 19,"https://api.nga.gov/iiif/070c2c4b-1715-46fc-a82c-86e49a22dd23/full/!500,500/0/default.jpg"
46113,Madame David,1813.0,1813.0,oil on canvas,"overall: 72.9 x 59.4 cm (28 11/16 x 23 3/8 in.)
framed: 93.6 x 79.7 x 9.5 cm (36 7/8 x 31 3/8 x 3 3/4 in.)",lower left: L. David. 1813.,Jacques-Louis David,painting,West Building,M-056,West Main Floor Gallery 56,"https://api.nga.gov/iiif/96140f3f-0521-47de-9d75-ed0b8b7d30f1/full/!500,500/0/default.jpg"
46146,Saint Jerome in the Wilderness,1570.0,1580.0,oil on canvas,"overall: 108 x 84.1 cm (42 1/2 x 33 1/8 in.)
framed: 142.1 x 116.5 x 8.3 cm (55 15/16 x 45 7/8 x 3 1/4 in.)",,Veronese Workshop (Possibly Benedetto Caliari),painting,West Building,M-028,West Main Floor Gallery 28,"https://api.nga.gov/iiif/15f8d0fb-d3ac-487b-91b7-eaa4f4adac70/full/!500,500/0/default.jpg"
46149,Ceres (Summer),1717.0,1718.0,oil on canvas,overall (oval): 141.6 x 115.7 cm (55 3/4 x 45 9/16 in.),,Antoine Watteau,painting,West Building,M-054,West Main Floor Gallery 54,"https://api.nga.gov/iiif/768878fe-0382-42fb-a74e-536be63690e7/full/!500,500/0/default.jpg"
46174,Still Life with Sweets and Pottery,1627.0,1627.0,oil on canvas,"overall: 84.5 x 112.7 cm (33 1/4 x 44 3/8 in.)
framed: 106 x 136.2 x 7.6 cm (41 3/4 x 53 5/8 x 3 in.)",lower right: Juan vanderHamen i Leon / fat 1627,Juan van der Hamen y León,painting,West Building,G-041,West Ground Floor Gallery 41,"https://api.nga.gov/iiif/939e38de-4d5f-416b-9cb4-2eea07e58793/full/!500,500/0/default.jpg"
46468,The Duke of Wellington,1812.0,1812.0,oil on canvas,"overall: 105.5 x 83.7 cm (41 9/16 x 32 15/16 in.)
framed: 118.1 x 96.8 cm (46 1/2 x 38 1/8 in.)","in another hand, lower left:  A. W. Terror Gallorum (A[rthur] W[ellesley] Terror of the French)",Workshop of Francisco Goya,painting,West Building,M-052,West Main Floor Gallery 52,"https://api.nga.gov/iiif/d9b0b4ca-dc3d-4ec2-9794-552d4ed0349d/full/!500,500/0/default.jpg"
46519,Café Singer,1917.0,1917.0,oil on canvas,"overall: 92.4 x 60.3 cm (36 3/8 x 23 3/4 in.)
framed: 112.4 x 80.3 cm (44 1/4 x 31 5/8 in.)",upper right: modigliani.,Amedeo Modigliani,painting,East Building,EG-103-A,"East Bldg, Ground Gal 103A (Pod 2)","https://api.nga.gov/iiif/12754293-0e78-4975-b610-1625bd88f159/full/!500,500/0/default.jpg"
46570,Woman with a Fan,1878.0,1879.0,oil on canvas,"overall: 85.5 x 65.1 cm (33 11/16 x 25 5/8 in.)
framed: 108.6 x 88.9 cm (42 3/4 x 35 in.)",center left: Mary Cassatt,Mary Cassatt,painting,West Building,M-086,West Main Floor Gallery 86,"https://api.nga.gov/iiif/1d276dec-659b-498d-a603-71c97aa3452e/full/!500,500/0/default.jpg"
46573,Woman with a Sunflower,1905.0,1905.0,oil on canvas,"overall: 92.1 x 73.7 cm (36 1/4 x 29 in.)
framed: 114.3 x 95.2 cm (45 x 37 1/2 in.)",lower right: Mary Cassatt,Mary Cassatt,painting,West Building,M-086,West Main Floor Gallery 86,"https://api.nga.gov/iiif/6ee124da-972a-4f02-83b8-7dc09c33f17c/full/!500,500/0/default.jpg"
46586,A View near Volterra,1838.0,1838.0,oil on canvas,"overall: 69.9 x 95.5 cm (27 1/2 x 37 5/8 in.)
framed: 94 x 120.3 cm (37 x 47 3/8 in.)",lower left: COROT. / 1838,Jean-Baptiste-Camille Corot,painting,West Building,M-093,West Main Floor Gallery 93,"https://api.nga.gov/iiif/b2e0595c-22b9-4b4c-a533-57a15a7ae6d0/full/!500,500/0/default.jpg"
46593,Portrait of a Young Woman in White,1798.0,1798.0,oil on canvas,"overall: 125.5 x 95 cm (49 7/16 x 37 3/8 in.)
framed: 148.9 x 119.4 cm (58 5/8 x 47 in.)",,Circle of Jacques-Louis David,painting,West Building,M-056,West Main Floor Gallery 56,"https://api.nga.gov/iiif/5800d71e-8940-47bb-8842-69b68e66660b/full/!500,500/0/default.jpg"
46626,La Mousmé,1888.0,1888.0,oil on canvas,"overall: 73.3 x 60.3 cm (28 7/8 x 23 3/4 in.)
framed: 99 x 86.3 x 10.1 cm (39 x 34 x 4 in.)",,Vincent van Gogh,painting,West Building,M-083,West Main Floor Gallery 83,"https://api.nga.gov/iiif/a2e6da57-3cd1-4235-b20e-95dcaefed6c8/full/!500,500/0/default.jpg"
46630,The Bridge of Louis Philippe,1875.0,1875.0,oil on canvas,"overall: 45.8 x 60.5 cm (18 1/16 x 23 13/16 in.)
framed: 61.9 x 75.9 cm (24 3/8 x 29 7/8 in.)",lower left: Guillaumin / 75,Jean-Baptiste-Armand Guillaumin,painting,West Building,M-082,West Main Floor Gallery 82,"https://api.nga.gov/iiif/ce2e25da-4383-426f-933b-e06c3fabac1f/full/!500,500/0/default.jpg"
46643,The Plumed Hat,1919.0,1919.0,oil on canvas,"overall: 47.7 x 38.1 cm (18 3/4 x 15 in.)
framed: 65.9 x 58.1 x 5.7 cm (25 15/16 x 22 7/8 x 2 1/4 in.)",upper right: Henri-Matisse,Henri Matisse,painting,East Building,EG-103-E,"East Bldg, Ground Gal 103E (Pod 2)","https://api.nga.gov/iiif/5b9a4c53-5fb7-47bb-a6f3-b443fa005f89/full/!500,500/0/default.jpg"
46638,The Musician,1914.0,1914.0,oil on canvas,"overall: 146 x 114.3 cm (57 1/2 x 45 in.)
framed: 176.2 x 143.2 x 8.2 cm (69 3/8 x 56 3/8 x 3 1/4 in.)",lower left: MARCOUSSIS 1914,Louis Casimir Ladislas Marcoussis,painting,East Building,EM-217-B,"East Bldg, Mezz Gal 217B (Pod 1)","https://api.nga.gov/iiif/40b70aa0-bf4d-4f0d-89e2-191c25dffdc6/full/!500,500/0/default.jpg"
46648,Léon Bakst,1917.0,1917.0,oil on canvas,"overall: 55.3 x 33 cm (21 3/4 x 13 in.)
framed: 78.1 x 55.9 x 3.8 cm (30 3/4 x 22 x 1 1/2 in.)",upper right: modigliani,Amedeo Modigliani,painting,East Building,EG-103-A,"East Bldg, Ground Gal 103A (Pod 2)","https://api.nga.gov/iiif/8cab7f8d-7337-47af-b4ea-3885db2ca878/full/!500,500/0/default.jpg"
46650,Madame Kisling,1917.0,1917.0,oil on canvas,"overall: 46.2 x 33.2 cm (18 3/16 x 13 1/16 in.)
framed: 62.8 x 50.4 x 6.9 cm (24 3/4 x 19 13/16 x 2 11/16 in.)",lower right: modigliani,Amedeo Modigliani,painting,East Building,EG-103-A,"East Bldg, Ground Gal 103A (Pod 2)","https://api.nga.gov/iiif/6f4f01c8-f20b-4af5-89e5-27ee4a1287da/full/!500,500/0/default.jpg"
46678,Evocation of Roussel,1912.0,1912.0,oil on canvas,"overall: 73 x 54 cm (28 3/4 x 21 1/4 in.)
framed: 90.5 x 71.8 cm (35 5/8 x 28 1/4 in.)",lower left: ODILON REDON,Odilon Redon,painting,East Building,EG-103-D,"East Bldg, Ground Gal 103D (Pod 2)","https://api.nga.gov/iiif/3a66581f-ed84-47d2-994c-de44b957caef/full/!500,500/0/default.jpg"
50723,Summer,1910.0,1910.0,bronze,overall: 163 x 73.7 x 33.2 cm (64 3/16 x 29 x 13 1/16 in.),"on base, upper surface, proper left rear corner, in monogram: AM; on base, back: .Alexis Rudier. / .Fondeur.Paris.",Aristide Maillol,sculpture,West Building,G-134,Fourth St Hallway,"https://api.nga.gov/iiif/0b92041f-6a83-4ac0-9858-501c5c930803/full/!500,500/0/default.jpg"
52165,Banks of the Seine at Médan,1885.0,1890.0,oil on canvas,"overall: 73 x 92.3 cm (28 3/4 x 36 5/16 in.)
framed: 120 x 101.3 x 10.8 cm (47 1/4 x 39 7/8 x 4 1/4 in.)",,Paul Cézanne,painting,West Building,M-084,West Main Floor Gallery 84,"https://api.nga.gov/iiif/e9d26ac4-eca2-4102-8728-51d4b131aebe/full/!500,500/0/default.jpg"
52166,Bridge on the Saône River at Mâcon,1834.0,1834.0,oil on paper on canvas,"overall: 25 x 33.6 cm (9 13/16 x 13 1/4 in.)
framed: 48.6 x 56.5 x 6.4 cm (19 1/8 x 22 1/4 x 2 1/2 in.)","below later inscription, lower left in pencil: Corot Pingebat 1834.; by later hand, lower left in brown ink: Corot 1834",Jean-Baptiste-Camille Corot,painting,West Building,M-091,West Main Floor Gallery 91,"https://api.nga.gov/iiif/173199d6-cab0-4c52-9d36-25da0c54f10e/full/!500,500/0/default.jpg"
52174,Regatta at Cowes,1934.0,1934.0,oil on linen,"overall: 81.6 x 100.3 cm (32 1/8 x 39 1/2 in.)
framed: 103.8 x 123.2 x 5 cm (40 7/8 x 48 1/2 x 1 15/16 in.)",lower left: Cowes 1934 / Raoul Dufy,Raoul Dufy,painting,East Building,EG-103-D,"East Bldg, Ground Gal 103D (Pod 2)","https://api.nga.gov/iiif/d7b9bbd2-8e66-4c67-9957-66ff8865eaea/full/!500,500/0/default.jpg"
52199,"Place du Carrousel, Paris",1900.0,1900.0,oil on canvas,"overall: 54.9 x 65.4 cm (21 5/8 x 25 3/4 in.)
framed: 79.7 x 89.5 x 10.1 cm (31 3/8 x 35 1/4 x 4 in.)",lower left: C. Pissarro.1900,Camille Pissarro,painting,West Building,M-089,West Main Floor Gallery 89,"https://api.nga.gov/iiif/2f61c3b8-00ff-41d4-941a-9d639c291472/full/!500,500/0/default.jpg"
52236,The Conversation,1891.0,1891.0,oil on canvas,"overall: 23.8 x 33.4 cm (9 3/8 x 13 1/8 in.)
framed: 46.2 x 55.2 x 6.9 cm (18 3/16 x 21 3/4 x 2 11/16 in.)",lower left with atelier stamp: E Vuillard,Edouard Vuillard,painting,East Building,EG-103-C,"East Bldg, Ground Gal 103C (Pod 2)","https://api.nga.gov/iiif/6e8255c1-623e-4cb7-b9ae-c9c42da3e504/full/!500,500/0/default.jpg"
53137,Lady with a Fan,1905.0,1905.0,oil on canvas,"overall: 100.3 x 81 cm (39 1/2 x 31 7/8 in.)
framed: 123.8 x 105.1 x 7.6 cm (48 3/4 x 41 3/8 x 3 in.)",lower right: Picasso / 1905,Pablo Picasso,painting,East Building,EM-217-C,"East Bldg, Mezz Gal 217C (Pod 1)","https://api.nga.gov/iiif/6a560165-2e94-46a1-9f5d-a13d1acc68b9/full/!500,500/0/default.jpg"
61369,"Breton Girls Dancing, Pont-Aven",1888.0,1888.0,oil on canvas,"overall: 73 x 92.7 cm (28 3/4 x 36 1/2 in.)
framed: 86.7 x 106 x 3.5 cm (34 1/8 x 41 3/4 x 1 3/8 in.)",lower right: P. Gauguin 88-,Paul Gauguin,painting,West Building,M-083,West Main Floor Gallery 83,"https://api.nga.gov/iiif/73578f5e-28c7-4ca0-8efc-7f9ba67e66f2/full/!500,500/0/default.jpg"
61375,The Cradle - Camille with the Artist's Son Jean,1867.0,1867.0,oil on canvas,"overall: 116.2 x 88.8 cm (45 3/4 x 34 15/16 in.)
framed: 150.5 x 122.6 cm (59 1/4 x 48 1/4 in.)",,Claude Monet,painting,West Building,M-090,West Main Floor Gallery 90,"https://api.nga.gov/iiif/84c9243d-d667-424c-8351-c51573553083/full/!500,500/0/default.jpg"
61376,"Interior, after Dinner",1868.0,1869.0,oil on canvas,"overall: 50.2 x 65.4 cm (19 3/4 x 25 3/4 in.)
framed: 76.4 x 93.4 x 7.6 cm (30 1/16 x 36 3/4 x 3 in.)",lower left: Claude Monet,Claude Monet,painting,West Building,M-086,West Main Floor Gallery 86,"https://api.nga.gov/iiif/23a7bb39-d6da-4cf4-8961-7e743fd39aba/full/!500,500/0/default.jpg"
65892,Europa,1500.0,1525.0,gilded bronze,"overall (with base): 16.1 x 12 x 8.6 cm (6 5/16 x 4 3/4 x 3 3/8 in.)
base: 6.7 x 7 x 7 cm (2 5/8 x 2 3/4 x 2 3/4 in.)",,Paduan 16th Century,sculpture,West Building,G-014,West Ground Floor Gallery 14,"https://api.nga.gov/iiif/cee687b9-43ec-497d-8b61-4cb1351a4cbe/full/!500,500/0/default.jpg"
66403,The Garden Table,1952.0,1952.0,oil on canvas,"overall: 116.2 x 81.3 cm (45 3/4 x 32 in.)
framed: 141.6 x 106.7 x 3.8 cm (55 3/4 x 42 x 1 1/2 in.)",,Georges Braque,painting,East Building,EG-103-Z,"East Bldg, Ground Lobby 103Z (Pod 2)","https://api.nga.gov/iiif/24272617-fac4-4f22-901b-8e5f96d2bf35/full/!500,500/0/default.jpg"
66405,Harlequin,1888.0,1890.0,oil on canvas,"overall: 101 x 65 cm (39 3/4 x 25 9/16 in.)
framed: 135.9 x 101.6 x 8.9 cm (53 1/2 x 40 x 3 1/2 in.)",,Paul Cézanne,painting,West Building,M-084,West Main Floor Gallery 84,"https://api.nga.gov/iiif/5e204056-579e-4617-a6a4-0b26ecc0b7db/full/!500,500/0/default.jpg"
66410,View of the Thames,1906.0,1906.0,oil on canvas,"overall: 73.3 x 92.2 cm (28 7/8 x 36 5/16 in.)
framed: 95.2 x 113.7 x 7.3 cm (37 1/2 x 44 3/4 x 2 7/8 in.)",lower right: a.derain06,André Derain,painting,East Building,EM-217-B,"East Bldg, Mezz Gal 217B (Pod 1)","https://api.nga.gov/iiif/fb6af046-7a89-4fad-9ec7-653ae26b7fee/full/!500,500/0/default.jpg"
